State,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Alabama,129.4,122.4,120.1,122.3,118.8,113.4,108.1,111.9,105.8,98,108.3,109.3,121.1,121.9,101.4,110.6,114.9
Alaska,37,36.1,34,33.8,34.9,33.3,33.6,34.4,34.2,35.9,39.7,41.3,38.2,34.5,35.9,37.2,35.9
Arizona,97.5,95.3,99,97,94.6,90.4,90,93.6,92.1,79.7,82.6,81.4,80.3,77.7,69.4,74.9,75.9
Arkansas,67.3,66.1,68.2,68.7,58.8,61.8,63.8,70.5,64.8,54.4,61.7,63.2,60.0,56.3,53.2,56.8,56.4
California,341.8,347.9,348.3,344,349.7,351.2,354.5,356.7,356.5,302,324.1,326.2,337.1,324.7,283.6,307.7,309.7
Colorado,92.1,90.8,91.7,92.3,90.8,87.9,88.2,89.4,91.1,79.3,84.7,88.7,80.9,78.6,69.8,75.5,76.7
Connecticut,35,34.2,34.5,34.9,36.2,33.9,33.7,37.2,36.5,33.7,36.3,37,43.5,39.6,40.1,42.3,40.9
Delaware,13.8,14.6,14,13.7,13.9,14.4,13.7,13.9,13.5,12.2,12.7,12.7,28.1,23.5,27.3,26.9,27.5
District of Columbia,3.1,2.6,2.8,3,2.9,2.7,2.6,2.9,2.8,2.4,2.6,2.6,24.6,19.7,24.4,23.3,25.0
Florida,232.1,226.6,226.3,232.4,236.5,237.6,237.4,240.9,232.6,206.7,225.4,231,204.2,198.6,172.1,185.4,187.8
Georgia,159.7,141.3,142.3,147.6,145,143.8,141,141.3,135.9,115.9,123.6,124.8,144.5,144.1,122.2,131.1,135.4
Hawaii,20.5,20.1,20,19.4,19.6,19.6,20.2,20.1,20.3,14.8,17.2,18.1,29.0,24.4,28.0,27.7,28.2
Idaho,15.9,15.7,17.1,16.7,17.9,18.1,18.5,18.8,19.9,19.2,20.3,20.7,26.5,22.1,26.4,25.8,26.5
Illinois,231.1,218,232.4,235.5,217.7,205.8,204.3,211.5,202.1,168.5,183.4,183.7,217.5,214.5,186.1,198.8,204.0
Indiana,209.3,194.9,199.3,205,186.4,180.9,175,188.4,175.4,153.6,165.4,163.2,200.2,197.3,170.8,182.5,187.0
Iowa,85.4,79.5,80.5,81.5,75.4,72,74,80.1,75.3,63.6,71.2,71.5,74.2,71.3,64.2,69.4,70.1
Kansas,70.6,65.9,69.5,70,64.2,62.2,58.7,62.5,60.2,57.4,59.5,62.1,73.3,70.4,63.5,68.9,69.3
Kentucky,151,140.4,139.3,140,130.9,126.2,116.3,122.2,114.2,100.8,110.8,109.6,130.0,130.6,109.3,118.1,122.9
Louisiana,207.5,196.8,188.4,185.7,184.8,188.3,192.6,194,194.5,182.5,187.9,191.8,195.2,193.0,165.7,178.6,182.4
Maine,17.3,15.6,16.3,16.4,16.6,16,15.2,14.7,14.3,13.4,14.3,14.9,28.9,24.3,27.8,27.6,28.1
Maryland,66.7,62.2,61.4,64,62,60.1,54.7,61.4,56.6,47.7,52.3,50.6,73.8,71.0,63.9,69.3,70.1
Massachusetts,68.6,62.4,66.3,64.8,66.5,63.8,64.5,63.9,63.1,52.1,56,59.2,81.9,79.7,69.9,76.7,78.0
Michigan,162.3,155.3,163.7,163.5,164,153.9,155.2,163.2,158.6,136.2,147.3,154,175.0,174.9,149.3,160.0,165.6
Minnesota,91.2,86.2,90.5,95.5,89,90.6,90.8,94.3,91.7,78,82.9,84.4,88.7,87.1,75.6,82.4,84.4
Mississippi,58.4,60,56.8,59.5,61,61.9,60.1,62.9,62.2,62.8,62.7,65.1,59.3,55.8,53.1,56.6,56.1
Missouri,136.5,128.8,133.5,133,124.3,118.4,123.9,124.3,116.5,108.2,116.4,112.9,122.2,122.8,102.6,111.9,116.2
Montana,32,30.7,32,32.5,32.4,31,31.1,31.1,32.1,26.1,28.3,29.5,34.5,30.0,32.4,32.8,32.5
Nebraska,52.3,50.5,53.2,51.9,50.5,48,47.5,52,50.2,46.2,47,48.1,44.4,40.5,41.0,43.0,41.5
Nevada,37.8,37.9,39.6,40.4,38.4,39.8,40,41.2,41.6,36,39.4,40.4,39.5,35.6,37.0,38.2,37.1
New Hampshire,16.3,14.7,14.4,15.1,15.2,13.8,13.5,14.2,13.9,12.4,13.3,13.8,27.5,23.0,26.8,26.3,27.0
New Jersey,104.8,98.7,100,104.5,103.2,105,98.8,104.6,100.4,83.4,88.6,92.5,116.0,116.6,97.8,106.7,110.4
New Mexico,56.2,54.1,53.5,50.4,50.4,48.5,49.3,45.5,48.6,44.9,45.7,46.5,55.1,51.5,49.4,52.7,51.8
New York,175,167.6,168.6,175.7,173.7,169.3,165.1,174.4,168.4,142.8,157.6,166.1,195.4,195.0,167.7,180.2,184.8
North Carolina,132.4,124.2,125.8,128.8,124.3,124.3,120.5,123.6,122.1,106,115.2,116.6,126.6,127.6,106.1,115.7,119.8
North Dakota,53.9,56.3,56.8,58.8,57.5,54.5,56.4,58.7,56.7,55.4,56.1,57,49.0,45.3,45.0,47.3,45.8
Ohio,234.7,214.5,227.3,229,210.4,204.3,204.1,208,195.8,184.8,193.2,196.2,245.1,241.6,209.3,225.2,228.9
Oklahoma,106.7,104.5,102.6,104,99.8,95.5,92.8,97.9,90.9,83.6,87.3,87.1,97.0,95.8,82.0,90.0,92.3
Oregon,36.9,36.6,38.8,37.6,37.6,37.3,38.5,39.3,41.6,37.2,38.2,37.6,40.0,36.0,37.3,38.7,37.6
Pennsylvania,249.4,239.4,248.9,248.8,232.2,217.2,214.5,219.4,218,192.5,213.7,213.5,256.2,251.9,218.4,235.0,239.2
Rhode Island,11,10.5,10,10.5,10.8,9.6,9.9,11,10.3,9.8,10.6,10.2,25.8,21.2,25.5,24.8,25.8
South Carolina,81,74.3,69.9,74.4,73,71.8,69.5,73.7,69,63.2,68.9,67.3,72.2,69.3,62.9,67.8,68.1
South Dakota,14.6,14.8,15.3,15.3,14,14.7,14.5,15.4,15.9,14.8,15.1,15.6,26.4,22.0,26.2,25.6,26.3
Tennessee,105.3,98.8,96.8,102.1,98.2,100.7,96.8,93.3,91.7,82.8,92.1,91.1,110.4,110.5,92.6,101.3,104.8
Texas,633.7,625.7,655.4,659.3,652.4,653.2,661.3,681,680.7,624.5,662,663,526.0,507.5,441.7,478.5,485.0
Utah,64.3,61.5,66.3,65.1,63.4,58.6,58.8,61,61.3,57.1,62,60.1,58.1,54.5,51.9,55.1,54.4
Vermont,5.8,5.4,5.7,5.9,6.1,5.9,5.8,5.8,6,5.4,5.5,5.5,24.6,19.8,24.5,23.4,25.0
Virginia,102.3,98.3,105.3,107,107.1,109.5,105,109.5,106.2,97.6,98,96.2,104.9,104.4,88.2,96.4,99.4
Washington,68.7,67.7,73.5,72.1,74.7,78.8,78.6,78.1,83.8,68,73.4,74.7,75.2,72.5,64.8,70.2,71.3
West Virginia,97.8,92.1,94.2,99.8,91.8,94.3,90.6,88.9,85.2,76.7,88.2,79.2,105.8,105.4,88.9,97.3,100.6
Wisconsin,98,90.7,101,100.9,99.5,95.2,98.2,100.7,94.4,86.6,92.3,90.6,97.4,96.3,82.1,90.0,92.8
Wyoming,64.4,66.6,68.8,65.8,63.9,61,62.6,63.6,58.9,55.4,54.4,56.2,60.8,57.2,54.0,57.7,57.1